Participant Name,Sport
YULO Carlos Edriel,Artistic Gymnastics
CABANG John,Athletics
OBIENA Ernest John,Athletics
HOFFMAN Lauren,Athletics
PAALAM Carlo,Boxing
MARCIAL Eumir Felix,Boxing
VILLEGAS Aira,Boxing
PETECIO Nesthy,Boxing
BACYADAN Hergie,Boxing
CATANTAN Samantha Kyle,Fencing
PAGDANGANAN Bianca,Golf
ARDINA Dottie,Golf
WATANABE Kiyomi,Judo
DELGACO Joanie,Rowing
HATCH Jarod,Swimming
SANCHEZ Kayla,Swimming
CENIZA John Febuar,Weightlifting
ANDO Elreen Ann,Weightlifting
SARNO Vanessa,Weightlifting
